Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.274000e-03,0.0084375,-0.0164063,0.267188,-0.00100156
-1.273000e-03,0.00875,0.021875,0.170312,-0.00105125
-1.272000e-03,-0.00125,-0.0664062,0.26875,-0.00093125
-1.271000e-03,0.0284375,0.034375,0.242188,-0.00080125
-1.270000e-03,-0.00625,0.009375,0.26875,-0.000811563
-1.269000e-03,-0.01125,-0.003125,0.245313,-0.00083125
-1.268000e-03,0.01375,0.034375,0.29375,-0.00092625
-1.267000e-03,0.00875,-0.00234375,0.26875,-0.00072125
-1.266000e-03,0.0190625,-0.053125,0.270312,-0.000731563
-1.265000e-03,0.003125,-0.0171875,0.317187,-0.000716563
-1.264000e-03,0.0284375,0.0203125,0.167188,-0.000871563
-1.263000e-03,0.0084375,0.009375,0.19375,-0.00106094
-1.262000e-03,-0.01625,-0.040625,0.192187,-0.00101719
-1.261000e-03,0.00875,-0.015625,0.21875,-0.00101125
-1.260000e-03,0.0284375,-0.0289063,0.267188,-0.00117625
-1.259000e-03,-0.0059375,-0.00390625,0.270312,-0.00126625
-1.258000e-03,-0.01125,-0.0140625,0.245313,-0.00106125
-1.257000e-03,0.0190625,-0.003125,0.192187,-0.00121625
-1.256000e-03,-0.006875,0.0328125,0.192187,-0.00120656
-1.255000e-03,-0.001875,0.021875,0.26875,-0.00115156
-1.254000e-03,0.0390625,-0.053125,0.295312,-0.00110063
-1.253000e-03,-0.0109375,0.0210937,0.16875,-0.00110094
-1.252000e-03,0.01875,-0.028125,0.29375,-0.00102625
-1.251000e-03,0.00375,0.046875,0.26875,-0.00098125
-1.250000e-03,-0.0009375,-0.028125,0.29375,-0.00109094
-1.249000e-03,-0.001875,0.00859375,0.292188,-0.00096125
-1.248000e-03,0.00875,-0.040625,0.117188,-0.00094125
-1.247000e-03,0.00375,-0.0171875,0.29375,-0.000916563
-1.246000e-03,-0.0115625,-0.0289063,0.217187,-0.000736563
-1.245000e-03,0.01375,-0.003125,0.0921875,-0.00088125
-1.244000e-03,-0.00625,0.0226562,0.195312,-0.000760938
-1.243000e-03,0.0034375,-0.0289063,0.24375,-0.000641563
-1.242000e-03,0.01375,0.00859375,0.217187,-0.000866563
-1.241000e-03,-0.00125,-0.0164063,0.29375,-0.00067125
-1.240000e-03,0.00875,-0.040625,0.270312,-0.000600938
-1.239000e-03,0.0190625,-0.028125,0.36875,-0.000456563
-1.238000e-03,0.0134375,-0.0046875,0.167188,-0.00072625
-1.237000e-03,0.01375,-0.053125,0.11875,-0.00064625
-1.236000e-03,0.014375,-0.00234375,0.320312,-0.00063125
-1.235000e-03,0.00375,-0.053125,0.245313,-0.000651563
-1.234000e-03,0.00875,-0.0148437,0.16875,-0.000711563
-1.233000e-03,0.0134375,0.0203125,0.240625,-0.000941875
-1.232000e-03,0.00875,-0.0414063,0.142188,-0.00108156
