Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.5
Vertical Position,0,-1.72,-3.18
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
4.9e-04,-2.12,0.128,0.59
4.9e-04,-2.16,0.136,0.59
4.9e-04,-2.16,0.128,0.61
4.9e-04,-2.12,0.136,0.59
4.9e-04,-2.04,0.128,0.57
4.9e-04,-2.12,0.12,0.59
4.9e-04,-2.12,0.136,0.57
5.0e-04,-2.12,0.12,0.61
5.0e-04,-2.12,0.128,0.59
5.0e-04,-2.12,0.128,0.57
5.0e-04,-2.08,0.128,0.59
5.0e-04,-2.12,0.128,0.59
5.0e-04,-2.08,0.136,0.57
5.0e-04,-2.08,0.12,0.59
5.0e-04,-2.12,0.12,0.59
5.0e-04,-2.08,0.136,0.57
5.1e-04,-2.08,0.128,0.59
5.1e-04,-2.04,0.128,0.57
5.1e-04,-2.12,0.128,0.57
5.1e-04,-2.08,0.128,0.57
5.1e-04,-2.08,0.128,0.59
5.1e-04,-2.08,0.136,0.59
5.1e-04,-2.12,0.128,0.59
5.1e-04,-2.08,0.136,0.57
5.1e-04,-2.12,0.136,0.59
5.1e-04,-2.12,0.128,0.59
5.2e-04,-2.12,0.136,0.59
5.2e-04,-2.12,0.128,0.57
5.2e-04,-2.08,0.128,0.59
5.2e-04,-2.12,0.136,0.55
5.2e-04,-2.08,0.12,0.59
5.2e-04,-2.08,0.128,0.57
5.2e-04,-2.08,0.128,0.61
5.2e-04,-2.08,0.136,0.61
5.2e-04,-2.12,0.128,0.57
5.2e-04,-2.12,0.128,0.57
5.3e-04,-2.08,0.128,0.59
5.3e-04,-2.08,0.128,0.61
5.3e-04,-2.12,0.128,0.59
5.3e-04,-2.08,0.128,0.57
5.3e-04,-2.12,0.128,0.57
5.3e-04,-2.12,0.12,0.57
5.3e-04,-2.08,0.128,0.57
5.3e-04,-2.08,0.136,0.59
5.3e-04,-2.08,0.12,0.57
5.3e-04,-2.08,0.136,0.57
5.3e-04,-2.08,0.128,0.59
5.4e-04,-2.08,0.12,0.59
5.4e-04,-2.08,0.128,0.57
5.4e-04,-2.12,0.128,0.59
5.4e-04,-2.12,0.128,0.57
5.4e-04,-2.08,0.128,0.59
5.4e-04,-2.08,0.136,0.57
5.4e-04,-2.08,0.128,0.57
5.4e-04,-2.08,0.128,0.59
5.4e-04,-2.12,0.128,0.59
5.5e-04,-2.12,0.128,0.59
5.5e-04,-2.12,0.128,0.59
5.5e-04,-2.08,0.136,0.59
5.5e-04,-2.08,0.128,0.57
5.5e-04,-2.08,0.128,0.61
5.5e-04,-2.08,0.128,0.57
5.5e-04,-2.04,0.128,0.57
5.5e-04,-2.08,0.128,0.57
5.5e-04,-2.04,0.128,0.59
5.5e-04,-2.08,0.136,0.57
