Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.087000e-03,-0.006875,-0.0171875,0.265625,-0.000886875
-1.086000e-03,0.0034375,-0.078125,0.267188,-0.00112125
-1.085000e-03,-0.00125,-0.015625,0.21875,-0.00110625
-1.084000e-03,-0.01625,-0.015625,0.21875,-0.00115188
-1.083000e-03,-0.0165625,-0.00390625,0.26875,-0.00111125
-1.082000e-03,-0.0215625,-0.0546875,0.240625,-0.00103656
-1.081000e-03,-0.00625,-0.0148437,0.24375,-0.00100625
-1.080000e-03,-0.0109375,-0.0640625,0.171875,-0.000905938
-1.079000e-03,-0.00625,-0.0289063,0.29375,-0.000991563
-1.078000e-03,-0.01125,0.009375,0.29375,-0.000785938
-1.077000e-03,-0.0215625,-0.0171875,0.192187,-0.000906563
-1.076000e-03,0.00375,-0.0148437,0.295312,-0.000960938
-1.075000e-03,0.00875,-0.040625,0.270312,-0.00096625
-1.074000e-03,-0.0015625,-0.0289063,0.245313,-0.00096625
-1.073000e-03,0.0034375,-0.0171875,0.26875,-0.00105125
-1.072000e-03,-0.02625,0.034375,0.192187,-0.00108094
-1.071000e-03,-0.02125,-0.0273438,0.19375,-0.000825625
-1.070000e-03,-0.03125,0.0078125,0.267188,-0.00079625
-1.069000e-03,0.003125,-0.065625,0.240625,-0.000896875
-1.068000e-03,-0.02625,-0.003125,0.21875,-0.00086125
-1.067000e-03,-0.0009375,0.0234375,0.195312,-0.000785313
-1.066000e-03,-0.0165625,-0.090625,0.31875,-0.000916563
-1.065000e-03,-0.0165625,0.009375,0.170312,-0.000875938
-1.064000e-03,-0.0065625,-0.028125,0.217187,-0.000841875
-1.063000e-03,-0.01625,-0.053125,0.270312,-0.00088625
-1.062000e-03,0.0034375,-0.0289063,0.19375,-0.000825938
-1.061000e-03,-0.0165625,-0.0296875,0.192187,-0.000761563
-1.060000e-03,-0.0309375,-0.040625,0.14375,-0.00106125
-1.059000e-03,-0.01625,-0.0398438,0.245313,-0.00090125
-1.058000e-03,-0.02125,0.0335937,0.265625,-0.000986563
-1.057000e-03,-0.010625,0.009375,0.26875,-0.00104125
-1.056000e-03,-0.02625,-0.0164063,0.142188,-0.00099625
-1.055000e-03,-0.001875,-0.00390625,0.314063,-0.000961875
-1.054000e-03,-0.00625,-0.015625,0.267188,-0.00110094
-1.053000e-03,-0.0115625,0.0476563,0.167188,-0.00115656
-1.052000e-03,0.0084375,-0.0414063,0.217187,-0.00109125
-1.051000e-03,0.00375,-0.0289063,0.246875,-0.00115156
-1.050000e-03,-0.0115625,-0.0539062,0.190625,-0.00105688
-1.049000e-03,0.00375,-0.0148437,0.16875,-0.00107594
-1.048000e-03,-0.0009375,-0.0523438,0.345313,-0.00116063
