Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.05
Vertical Position,0,-1.8,-2.34
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
5.1e-04,-0.64,0.4,0.041
5.1e-04,-0.68,0.408,0.043
5.1e-04,-0.64,0.408,0.043
5.1e-04,-0.64,0.408,0.041
5.1e-04,-0.64,0.4,0.041
5.1e-04,-0.64,0.4,0.041
5.1e-04,-0.64,0.408,0.043
5.1e-04,-0.64,0.4,0.041
5.2e-04,-0.64,0.408,0.043
5.2e-04,-0.68,0.4,0.045
5.2e-04,-0.68,0.408,0.043
5.2e-04,-0.68,0.4,0.043
5.2e-04,-0.64,0.408,0.041
5.2e-04,-0.64,0.408,0.043
5.2e-04,-0.68,0.4,0.041
5.2e-04,-0.68,0.4,0.043
5.2e-04,-0.64,0.408,0.043
5.2e-04,-0.64,0.4,0.041
5.3e-04,-0.68,0.408,0.043
5.3e-04,-0.64,0.408,0.043
5.3e-04,-0.68,0.4,0.043
5.3e-04,-0.64,0.408,0.043
5.3e-04,-0.68,0.4,0.045
5.3e-04,-0.68,0.4,0.043
5.3e-04,-0.64,0.4,0.043
5.3e-04,-0.68,0.408,0.043
5.3e-04,-0.64,0.408,0.043
5.3e-04,-0.68,0.4,0.041
5.3e-04,-0.68,0.4,0.041
5.4e-04,-0.68,0.408,0.043
5.4e-04,-0.68,0.4,0.041
5.4e-04,-0.64,0.4,0.041
5.4e-04,-0.64,0.4,0.043
5.4e-04,-0.64,0.4,0.043
5.4e-04,-0.64,0.4,0.041
5.4e-04,-0.68,0.408,0.041
5.4e-04,-0.68,0.408,0.045
5.4e-04,-0.64,0.408,0.045
5.5e-04,-0.64,0.408,0.043
5.5e-04,-0.64,0.4,0.043
5.5e-04,-0.64,0.392,0.043
5.5e-04,-0.64,0.4,0.041
5.5e-04,-0.68,0.392,0.043
5.5e-04,-0.64,0.408,0.043
5.5e-04,-0.64,0.408,0.041
5.5e-04,-0.64,0.4,0.045
5.5e-04,-0.64,0.408,0.041
5.5e-04,-0.68,0.4,0.041
5.6e-04,-0.68,0.4,0.045
5.6e-04,-0.64,0.416,0.041
5.6e-04,-0.68,0.4,0.041
5.6e-04,-0.64,0.408,0.041
5.6e-04,-0.68,0.4,0.043
5.6e-04,-0.68,0.392,0.041
5.6e-04,-0.68,0.4,0.041
5.6e-04,-0.68,0.408,0.043
5.6e-04,-0.64,0.408,0.045
5.6e-04,-0.68,0.4,0.041
5.7e-04,-0.64,0.4,0.043
5.7e-04,-0.64,0.4,0.041
5.7e-04,-0.68,0.408,0.041
5.7e-04,-0.64,0.4,0.045
5.7e-04,-0.68,0.408,0.043
5.7e-04,-0.64,0.4,0.041
5.7e-04,-0.68,0.408,0.041
5.7e-04,-0.68,0.408,0.045
5.7e-04,-0.64,0.4,0.045
5.7e-04,-0.64,0.408,0.043
5.8e-04,-0.64,0.408,0.043
5.8e-04,-0.68,0.408,0.043
5.8e-04,-0.68,0.4,0.041
5.8e-04,-0.64,0.408,0.043
5.8e-04,-0.64,0.408,0.041
5.8e-04,-0.68,0.408,0.041
5.8e-04,-0.68,0.4,0.041
5.8e-04,-0.64,0.408,0.041
5.8e-04,-0.6,0.4,0.043
5.8e-04,-0.64,0.408,0.041
5.9e-04,-0.68,0.4,0.041
5.9e-04,-0.68,0.4,0.043
5.9e-04,-0.64,0.408,0.041
5.9e-04,-0.6,0.4,0.043
5.9e-04,-0.68,0.4,0.043
5.9e-04,-0.64,0.408,0.043
5.9e-04,-0.64,0.4,0.041
5.9e-04,-0.64,0.408,0.043
5.9e-04,-0.68,0.4,0.043
5.9e-04,-0.68,0.4,0.045
6.0e-04,-0.68,0.4,0.045
6.0e-04,-0.68,0.408,0.043
6.0e-04,-0.64,0.4,0.043
6.0e-04,-0.64,0.4,0.041
6.0e-04,-0.64,0.4,0.043
6.0e-04,-0.64,0.408,0.045
6.0e-04,-0.64,0.4,0.041
6.0e-04,-0.64,0.408,0.043
6.0e-04,-0.64,0.392,0.043
6.0e-04,-0.64,0.408,0.041
6.1e-04,-0.6,0.4,0.043
6.1e-04,-0.68,0.392,0.039
6.1e-04,-0.64,0.4,0.045
6.1e-04,-0.64,0.408,0.043
6.1e-04,-0.6,0.408,0.043
6.1e-04,-0.64,0.408,0.045
6.1e-04,-0.64,0.408,0.043
6.1e-04,-0.64,0.4,0.043
6.1e-04,-0.6,0.4,0.043
6.1e-04,-0.64,0.392,0.043
6.2e-04,-0.68,0.4,0.043
6.2e-04,-0.64,0.4,0.043
6.2e-04,-0.64,0.408,0.045
6.2e-04,-0.68,0.4,0.043
6.2e-04,-0.68,0.4,0.045
6.2e-04,-0.64,0.392,0.041
6.2e-04,-0.64,0.4,0.041
6.2e-04,-0.64,0.4,0.039
6.2e-04,-0.64,0.392,0.039
6.2e-04,-0.64,0.408,0.041
6.3e-04,-0.64,0.408,0.045
6.3e-04,-0.6,0.4,0.041
6.3e-04,-0.64,0.408,0.043
6.3e-04,-0.64,0.4,0.043
6.3e-04,-0.68,0.4,0.043
6.3e-04,-0.64,0.408,0.043
6.3e-04,-0.68,0.392,0.041
6.3e-04,-0.64,0.408,0.045
6.3e-04,-0.64,0.4,0.043
6.3e-04,-0.64,0.408,0.041
6.4e-04,-0.64,0.4,0.045
6.4e-04,-0.64,0.4,0.043
6.4e-04,-0.64,0.408,0.045
6.4e-04,-0.64,0.4,0.041
6.4e-04,-0.64,0.408,0.043
6.4e-04,-0.68,0.408,0.043
6.4e-04,-0.64,0.4,0.043
6.4e-04,-0.64,0.4,0.043
6.4e-04,-0.68,0.4,0.043
6.4e-04,-0.64,0.4,0.045
6.5e-04,-0.64,0.4,0.043
6.5e-04,-0.6,0.392,0.043
6.5e-04,-0.68,0.408,0.043
6.5e-04,-0.64,0.4,0.043
6.5e-04,-0.68,0.4,0.043
6.5e-04,-0.6,0.4,0.043
