Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.263000e-03,0.0340625,-0.0273438,0.19375,-0.000995938
-1.262000e-03,0.0034375,-0.053125,0.190625,-0.00109188
-1.261000e-03,0.008125,0.0210937,0.267188,-0.000971563
-1.260000e-03,0.0084375,-0.028125,0.190625,-0.00105125
-1.259000e-03,0.0140625,-0.015625,0.29375,-0.00114094
-1.258000e-03,0.01875,-0.0539062,0.192187,-0.00108125
-1.257000e-03,0.0334375,-0.0429688,0.217187,-0.000971563
-1.256000e-03,0.01375,-0.0789063,0.21875,-0.000841563
-1.255000e-03,-0.0015625,-0.0164063,0.16875,-0.000686563
-1.254000e-03,0.02375,-0.0664062,0.21875,-0.000936875
-1.253000e-03,0.01375,-0.0539062,0.170312,-0.000796563
-1.252000e-03,0.0290625,-0.078125,0.0703125,-0.000830938
-1.251000e-03,0.0340625,-0.040625,0.16875,-0.00091125
-1.250000e-03,0.043125,-0.00625,0.189063,-0.00102188
-1.249000e-03,0.04375,-0.003125,0.29375,-0.000991563
-1.248000e-03,0.01375,-0.053125,0.196875,-0.000845938
-1.247000e-03,-0.00125,-0.040625,0.220313,-0.000970938
-1.246000e-03,0.01875,-0.0414063,0.142188,-0.00099625
-1.245000e-03,0.0134375,-0.053125,0.0921875,-0.00108625
-1.244000e-03,0.0134375,-0.0289063,0.01875,-0.00098125
-1.243000e-03,0.0234375,-0.028125,0.16875,-0.00108625
-1.242000e-03,0.0184375,0.0476563,0.167188,-0.00102625
-1.241000e-03,0.0090625,-0.040625,0.29375,-0.000990938
-1.240000e-03,-0.00125,0.00859375,0.26875,-0.00105625
-1.239000e-03,0.0184375,0.0335937,0.242188,-0.000931563
-1.238000e-03,0.0284375,-0.040625,0.11875,-0.00092125
-1.237000e-03,0.0084375,-0.0164063,0.31875,-0.00064625
-1.236000e-03,0.01375,-0.0648438,0.245313,-0.000860938
-1.235000e-03,0.0184375,-0.053125,0.24375,-0.00103594
-1.234000e-03,-0.0065625,-0.0296875,0.217187,-0.00095625
-1.233000e-03,0.0090625,-0.015625,0.21875,-0.00113125
-1.232000e-03,-0.0009375,-0.0398438,0.14375,-0.00111594
-1.231000e-03,0.03375,-0.103125,0.192187,-0.000931563
